,BOOK VALUE (Rs),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,company_code
0,-337.55,0.00%,-%,-,10.00,19.25,"4,399.06",1,-,-,-,JA01
0,53.31,0.00%,-%,16.77,2.00,11.58,"3,784.39",1,5.71,9.56,3.01,JSH
0,422.11,10.00%,0.43%,3.32,10.00,24.28,"1,025.26",1,8.79,70.53,0.55,JPF01
0,186.07,50.00%,1.04%,12.07,2.00,19.46,"3,061.65",1,4.77,7.93,0.51,JS08
0,221.19,0.00%,-%,-,1.00,9.66,"22,659.62",1,14.64,-,1.06,JSP
0,105.64,0.00%,-%,3.64,1.00,32.64,"3,215.86",1,15.87,15.87,0.55,JKB
0,124.55,15.00%,0.23%,7.14,5.00,36.29,"3,911.94",1,14.86,46.56,2.67,JKL01
0,75.70,125.00%,1.95%,1.90,2.00,27.04,"2,905.48",1,13.32,67.42,1.69,JKT01
0,20.63,150.00%,1.15%,1.62,1.00,36.62,"10,924.13",1,79.42,80.40,6.31,JMF
0,198.28,15.00%,0.06%,36.83,10.00,20.53,"7,149.03",1,46.70,71.39,13.26,HHL
0,48.54,5.00%,0.69%,-,10.00,11.73,"11,824.80",1,-,-,1.49,JE01
0,118.58,225.00%,0.68%,19.13,1.00,16.94,"80,287.98",1,10.45,17.36,2.80,JSW01
0,160.44,25.00%,0.09%,31.28,10.00,64.74,"18,215.69",1,50.28,88.25,17.21,JF04
0,144.79,300.00%,0.39%,16.54,1.00,29.05,"12,149.97",1,35.10,46.12,5.27,JO03
0,155.26,0.00%,-%,21.25,10.00,51.31,"3,827.86",1,21.32,26.73,3.66,JD
0,44.79,600.00%,1.33%,8.83,1.00,66.23,"8,219.82",1,37.87,51.21,10.09,JL
0,90.09,300.00%,0.57%,15.87,1.00,25.51,"8,342.51",1,26.56,33.07,5.83,KC06
0,182.48,100.00%,0.47%,20.98,2.00,14.41,"6,547.40",1,16.43,20.34,2.34,KPT
0,57.99,260.00%,0.52%,9.58,1.00,57.09,"27,002.57",1,45.59,52.30,8.64,KNP
0,181.91,40.00%,3.38%,11.52,10.00,32.64,"3,344.39",1,10.27,10.27,0.65,KB04
0,186.67,0.00%,-%,31.83,2.00,24.93,"3,698.19",1,15.82,17.58,3.00,KSC01
0,81.13,80.00%,0.44%,16.73,2.00,14.41,"9,275.75",1,17.65,21.57,4.45,KEC04
0,-11.37,0.00%,-%,-,10.00,22.07,"1,286.88",1,-,-,-,KI08
0,122.17,250.00%,1.73%,10.38,2.00,25.13,"4,185.13",1,16.18,27.88,2.37,KOE03
0,68.52,150.00%,0.90%,10.53,1.00,46.70,"1,102.57",1,11.80,15.75,2.42,KG01
0,196.65,14.00%,0.05%,21.43,5.00,32.64,"255,495.82",1,58.23,62.55,6.82,KMB
0,78.67,110.00%,0.78%,8.99,2.00,21.82,"5,583.29",1,22.33,31.45,3.59,KPI02
0,181.75,15.00%,0.12%,30.44,5.00,46.70,"4,591.15",1,13.91,20.41,3.42,M15
0,99.13,210.00%,0.41%,19.62,1.00,26.90,"11,929.56",1,22.53,25.83,5.11,KRB01
0,44.33,10.00%,0.34%,2.95,1.00,64.74,707.17,1,3.60,9.93,0.66,KDI01
0,38.17,8.00%,0.48%,1.84,10.00,36.62,"32,989.83",1,89.84,89.84,4.33,LFH
0,173.01,1655.00%,0.97%,67.42,1.00,21.82,"29,301.18",1,23.41,25.26,9.84,LI12
0,197.26,350.00%,0.52%,47.76,2.00,29.78,"13,718.37",1,25.08,28.03,6.79,LTS
0,24.65,100.00%,0.77%,6.62,2.00,41.97,"2,886.00",1,33.08,39.27,10.55,LOR
0,1597.23,350.00%,0.43%,192.98,10.00,23.24,"8,856.10",1,31.38,41.89,5.06,LMW
0,107.33,27.00%,2.38%,-,10.00,32.64,"2,908.09",1,-,-,1.06,LVB
0,290.38,1050.00%,1.58%,38.43,2.00,22.07,"186,247.55",1,22.66,34.57,4.58,LT
0,144.45,15.00%,0.30%,16.75,10.00,29.05,"5,290.88",1,17.70,29.79,3.45,LL05
0,258.92,310.00%,1.25%,39.42,2.00,23.49,"25,028.76",1,12.52,12.58,1.92,LIC
0,165.06,10.00%,0.22%,2.34,10.00,32.84,"3,884.27",1,17.17,194.64,2.76,BOC
0,326.92,375.00%,0.82%,29.74,2.00,29.05,"41,159.46",1,23.73,30.61,2.78,L
0,206.60,260.00%,1.43%,35.17,5.00,31.79,"112,962.69",1,19.30,25.84,4.40,MM
0,119.46,120.00%,0.51%,14.44,2.00,36.62,"29,331.48",1,31.34,32.88,3.97,MMF04
0,83.44,40.00%,0.47%,7.52,2.00,36.62,"4,589.99",1,18.25,22.67,2.04,MF20
0,234.66,190.00%,2.29%,48.38,10.00,26.07,"8,195.59",1,13.91,17.15,3.54,MG02
0,92.45,0.00%,-%,2.41,10.00,46.42,"9,694.61",1,58.07,106.27,2.77,MF19
0,50.58,50.00%,1.56%,10.06,10.00,69.32,"4,291.16",1,22.69,31.95,6.36,MHR
0,331.30,60.00%,1.05%,10.35,10.00,30.60,"2,928.08",1,51.29,55.11,1.72,MLD
0,47.61,100.00%,1.93%,8.31,2.00,36.62,"8,716.05",1,11.46,12.45,2.17,MGF01
0,100.78,10.00%,0.63%,7.70,10.00,51.97,"1,809.65",1,11.17,20.53,1.57,MB04
0,28.22,350.00%,1.03%,5.56,1.00,66.23,"43,657.03",1,55.63,60.83,11.98,M13
0,10.54,5.00%,0.16%,0.30,1.00,29.05,"1,266.83",1,51.58,103.17,2.94,MP21
0,1453.02,1500.00%,0.84%,255.62,5.00,31.79,"270,437.17",1,25.81,35.02,6.16,MS24
0,68.12,0.00%,-%,4.58,2.00,36.62,"12,606.15",1,100.78,102.54,6.89,MI
0,61.26,0.00%,-%,0.24,2.00,36.62,"2,097.41",1,289.44,325.63,1.28,MIL16
0,165.42,5.00%,0.17%,6.14,5.00,32.14,"1,589.30",1,10.60,23.65,0.88,MRI02
0,320.72,150.00%,1.86%,20.85,10.00,17.10,"4,119.65",1,33.49,38.74,2.52,MCE
0,75.68,110.00%,0.17%,15.59,2.00,73.54,"11,312.64",1,60.05,83.24,17.15,MI4
0,206.11,100.00%,1.00%,39.64,10.00,21.82,"16,455.27",1,20.42,25.31,4.87,MT13
0,9.56,30.00%,0.80%,0.33,1.00,49.47,"5,632.50",1,104.31,113.79,3.93,MMT
0,105.32,110.00%,5.96%,15.84,10.00,15.10,"4,915.96",1,10.15,11.65,1.75,M18
0,402.13,300.00%,1.05%,95.33,10.00,39.10,"4,945.78",1,27.85,30.05,7.12,MI39
0,11.90,200.00%,0.65%,4.18,1.00,73.54,"64,801.42",1,59.08,73.64,25.87,MSS01
0,55.07,250.00%,0.29%,8.94,1.00,36.62,"12,591.08",1,92.42,97.07,15.76,MOF01
0,242.04,170.00%,1.58%,38.28,10.00,21.82,"20,781.82",1,26.93,28.09,4.44,MB02
0,22721.94,600.00%,0.08%,"2,575.44",10.00,27.04,"31,998.41",1,17.80,29.30,3.32,MRF
0,70.15,0.00%,-%,12.69,10.00,8.41,"15,694.52",1,5.42,7.06,1.28,MRP
0,-100.63,0.00%,-%,-,10.00,341.93,"1,111.95",1,-,-,-,MTN
0,205.89,60.00%,1.55%,43.00,10.00,36.62,"15,459.53",1,8.76,8.99,1.88,MF10
0,59.74,56.00%,4.05%,6.94,5.00,24.70,"13,375.87",1,7.34,9.97,1.16,NAC
0,54.65,0.00%,-%,2.97,10.00,48.56,"4,727.89",1,34.07,77.90,4.23,NH
0,130.08,362.50%,0.87%,37.84,2.00,29.05,"15,312.95",1,20.05,21.93,6.38,NP07
0,160.54,50.00%,0.69%,9.05,2.00,22.07,"2,606.31",1,13.10,16.13,0.91,NBV
0,151.60,315.00%,0.93%,36.27,2.00,25.97,"3,360.57",1,15.48,18.78,4.49,NFI
0,89.09,0.00%,-%,6.84,10.00,44.24,"2,144.90",1,17.03,20.83,1.60,NC02
0,37.63,125.00%,2.01%,6.56,2.00,15.58,"2,908.96",1,16.45,18.99,3.31,NP01
0,9.30,81.50%,0.96%,1.85,1.00,30.60,"15,291.00",1,45.43,45.92,9.13,NBC01
0,62.23,20.00%,0.37%,4.77,2.00,30.60,"6,432.92",1,15.91,22.45,1.72,NCC01
0,354.77,860.00%,0.88%,139.24,10.00,64.74,"93,874.68",1,55.72,69.93,27.44,NI
0,23.64,0.00%,-%,-,5.00,36.62,"4,679.86",1,-,-,1.89,NMI
0,28.95,18.00%,6.96%,2.69,10.00,11.73,"26,520.34",1,6.37,9.61,0.89,N07
0,48.49,0.00%,-%,0.31,2.00,103.45,"1,677.73",1,57.82,324.52,2.07,NII
0,217.85,125.00%,1.10%,36.79,10.00,21.82,"6,962.77",1,22.55,30.78,5.20,NII02
0,534.21,130.00%,0.77%,78.47,10.00,37.42,"2,516.61",1,15.20,21.49,3.16,NP08
0,91.90,73.40%,8.76%,12.09,10.00,11.73,"12,809.40",1,4.73,6.93,0.91,NLC
0,83.20,515.00%,4.56%,12.03,1.00,15.10,"35,751.96",1,8.80,9.39,1.36,NMD02
0,129.25,47.80%,3.06%,12.54,10.00,11.73,"128,670.47",1,7.38,12.44,1.21,NTP
0,131.39,20.00%,0.40%,12.28,10.00,30.60,"17,192.36",1,37.64,41.23,3.85,OR
0,488.16,250.00%,0.43%,74.21,2.00,36.29,"6,679.52",1,11.32,15.82,2.40,OCL
0,255.93,95.00%,4.29%,23.51,10.00,11.73,"25,104.07",1,6.37,9.41,0.86,OI13
0,105.59,7.00%,0.32%,3.47,10.00,30.60,"3,985.40",1,57.34,62.80,2.06,O02
0,160.12,121.00%,3.66%,15.54,5.00,11.73,"212,325.88",1,6.17,10.65,1.03,ONG
0,313.20,3400.00%,4.16%,117.74,5.00,21.82,"34,888.20",1,32.81,34.68,13.04,OFS01
0,50.34,100.00%,0.84%,2.16,1.00,36.29,"2,425.65",1,14.23,54.81,2.35,OC10
0,164.08,0.00%,-%,-,10.00,12.43,"5,090.61",1,-,-,0.49,OBC
0,162.08,3890.00%,4.00%,125.71,10.00,66.23,"31,595.01",1,67.54,77.43,60.05,PGH
0,907.99,970.00%,0.37%,311.08,10.00,46.70,"29,627.14",1,79.01,85.39,29.25,PI35
0,88.52,5.00%,0.14%,9.33,10.00,64.74,"2,909.52",1,22.86,37.07,3.91,PMF01
0,70.83,10.00%,0.64%,14.38,10.00,24.92,"6,208.93",1,10.56,10.95,2.22,PJ
0,269.57,90.00%,1.11%,42.76,10.00,21.82,"6,496.40",1,16.41,18.99,3.01,PS15
0,53.88,25.00%,1.18%,13.85,10.00,15.50,"31,770.00",1,12.76,15.29,3.93,PLN
0,607.45,200.00%,0.77%,78.71,10.00,29.05,"11,841.11",1,27.77,32.88,4.26,P
0,158.77,120.00%,0.37%,10.11,2.00,30.60,"9,847.39",1,50.46,63.59,4.05,PM02
0,143.24,400.00%,0.50%,26.58,1.00,39.10,"10,992.59",1,24.47,29.99,5.56,PII
0,85.74,475.00%,0.44%,18.81,1.00,42.85,"55,080.76",1,52.63,57.66,12.65,PI11
0,897.64,1050.00%,0.84%,28.71,2.00,29.05,"45,150.84",1,71.66,87.08,2.79,PH05
0,93.97,0.00%,-%,-,2.00,12.43,"24,803.75",1,-,-,0.96,PNB05
0,382.80,60.00%,0.55%,49.61,10.00,23.49,"18,363.38",1,21.48,22.11,2.86,PHF
0,71.07,25.00%,0.29%,9.79,2.00,30.60,"4,388.10",1,13.36,17.47,2.41,PI26
0,73.78,0.00%,-%,17.55,5.00,21.82,"4,820.23",1,23.56,26.65,6.34,PSL01
0,160.32,50.00%,6.06%,22.18,10.00,5.80,"21,767.47",1,3.71,3.72,0.51,PFC02
0,110.95,10.00%,0.50%,15.75,10.00,14.41,"103,847.05",1,5.99,12.60,1.79,PGC
0,39.43,81.00%,1.86%,1.74,2.00,23.24,"1,577.30",1,29.88,49.97,2.21,PI17
0,132.66,12.00%,0.44%,6.19,10.00,30.60,"10,325.63",1,35.90,44.48,2.08,PEP02
0,20.38,0.00%,-%,1.40,10.00,36.29,"5,476.52",1,24.50,77.71,5.34,PC
0,114.66,30.00%,3.62%,10.78,10.00,11.73,"2,455.39",1,7.62,7.69,0.72,PTC02
0,38.05,15.00%,8.04%,0.38,10.00,36.62,"1,197.86",1,42.39,49.08,0.49,PIF02
0,229.87,20.00%,0.14%,25.98,10.00,35.36,"6,572.61",1,25.03,54.13,6.12,PVR
0,86.52,40.00%,0.20%,9.26,2.00,69.28,"5,250.31",1,31.94,42.53,4.55,RK01
0,27.43,50.00%,0.47%,0.92,2.00,36.29,"7,194.43",1,227.55,232.50,7.80,RC12
0,141.66,110.00%,0.18%,14.94,1.00,24.92,"17,752.51",1,40.11,40.24,4.24,RE07
0,60.62,250.00%,1.23%,7.28,1.00,39.10,"3,956.47",1,21.74,27.95,3.36,RI03
0,155.92,300.00%,0.41%,23.15,1.00,36.29,"17,533.90",1,20.68,31.56,4.69,MC
0,54.45,11.00%,1.41%,1.43,10.00,14.80,"4,303.17",1,19.95,54.55,1.43,RCF01
0,286.49,275.00%,0.54%,32.48,2.00,19.46,"4,759.48",1,22.41,31.36,3.56,RMT
0,15.37,0.00%,-%,-,10.00,11.73,"1,187.08",1,-,-,0.26,IP09
0,214.57,30.00%,0.30%,15.98,10.00,60.57,"6,047.24",1,31.21,61.65,4.59,R
0,158.94,18.00%,0.32%,15.10,10.00,32.64,"23,543.05",1,37.07,37.07,3.52,RB03
0,192.27,96.50%,8.50%,23.53,10.00,5.80,"22,425.19",1,4.82,4.83,0.59,REC02
0,43.24,215.00%,3.43%,4.60,2.00,29.54,"5,016.16",1,25.37,27.25,2.90,RI37
0,574.93,105.00%,2.50%,33.00,10.00,36.62,"10,624.97",1,12.43,12.74,0.73,RC
0,63.64,100.00%,0.15%,13.38,1.00,40.15,"8,298.38",1,38.52,51.53,10.83,RF07
0,496.59,60.00%,0.59%,53.05,10.00,22.07,"642,363.07",1,14.87,19.11,2.04,RI
0,51.90,0.00%,-%,-,5.00,341.93,"4,272.75",1,-,-,0.30,RC13
0,861.61,90.00%,2.09%,63.29,10.00,11.73,"11,334.87",1,4.44,6.81,0.50,RI38
0,2.93,0.00%,-%,-,10.00,20.06,"1,028.94",1,-,-,4.76,PS04
0,59.91,0.00%,-%,0.01,10.00,11.73,"9,705.74",1,576.67,"3,460.00",0.58,RP
0,96.05,0.00%,-%,-,10.00,36.62,934.18,1,-,-,0.53,RE09
0,214.73,20.00%,0.36%,32.95,10.00,23.49,"3,502.19",1,16.74,16.99,2.61,RHF
0,236.15,0.00%,-%,9.29,10.00,21.82,674.17,1,2.66,4.39,0.17,RI15
0,47.56,0.00%,-%,4.77,10.00,25.97,"3,350.86",1,42.13,48.57,4.87,KC17
0,109.67,75.00%,0.24%,12.86,1.00,30.60,"5,419.06",1,17.01,24.56,2.88,SE19
0,86.01,0.00%,-%,-,10.00,16.94,"35,336.64",1,13.69,-,0.99,SAI
0,868.77,710.00%,1.38%,151.32,10.00,29.05,"11,849.26",1,26.29,34.00,5.92,AP26
0,217.69,0.00%,-%,-,1.00,12.43,"247,701.93",1,-,-,1.27,SBI
0,1020.21,170.00%,0.31%,148.38,10.00,34.51,"8,985.04",1,28.28,36.44,5.30,FAG
0,-6.59,0.00%,-%,-,2.00,47.97,"2,332.46",1,-,-,-,SEI04
0,68.26,0.00%,-%,16.60,2.00,29.05,"1,562.35",1,3.83,3.86,0.94,PID01
0,120.06,40.00%,1.01%,21.43,10.00,39.10,"3,561.00",1,13.53,18.42,3.29,SC04
0,112.12,0.00%,-%,25.81,5.00,26.73,"7,390.60",1,48.08,58.70,13.51,SF14
0,133.62,60.00%,0.15%,16.56,1.00,29.05,"3,259.04",1,19.42,24.14,2.99,SM19
0,152.88,0.00%,-%,5.45,10.00,18.22,"3,067.29",1,3.55,12.08,0.43,SCI
0,88.03,15.00%,0.13%,1.32,5.00,151.28,"4,957.35",1,40.13,426.82,6.40,SS51
0,2607.07,1400.00%,0.87%,397.33,10.00,36.29,"56,329.88",1,24.67,40.70,6.20,SC12
0,0.74,0.00%,-%,-,1.00,10.33,"3,066.91",1,-,-,21.62,SRS03
0,762.27,150.00%,0.65%,100.77,10.00,36.62,"15,244.60",1,21.84,22.93,3.03,SCU
0,567.26,100.00%,0.68%,69.11,10.00,36.62,"33,215.63",1,20.71,21.18,2.58,STF
0,216.35,350.00%,0.70%,33.61,2.00,37.67,"35,526.56",1,25.49,29.68,4.61,S
0,3.67,0.00%,-%,-,1.00,35.36,"1,349.94",1,-,-,4.22,WWI
0,31.81,27.50%,9.12%,3.12,10.00,11.73,"11,848.33",1,7.46,9.66,0.95,S11
0,410.17,150.00%,0.84%,57.65,10.00,34.51,"9,155.61",1,26.79,30.93,4.35,SKF01
0,284.01,0.00%,-%,5.87,10.00,37.26,"1,143.69",1,30.99,134.63,2.78,SM
0,285.41,20.00%,0.41%,20.44,10.00,30.60,"4,675.90",1,19.14,24.12,1.73,SD6
0,87.62,250.00%,0.42%,14.84,2.00,73.28,"10,776.01",1,67.20,80.25,13.59,SII04
0,134.72,135.00%,0.49%,15.36,2.00,25.51,"2,328.75",1,25.28,35.77,4.08,SC49
0,57.76,900.00%,2.79%,14.39,1.00,21.82,"3,394.02",1,21.72,22.43,5.59,SS42
0,25.43,40.00%,1.66%,1.85,1.00,32.64,"4,369.94",1,13.05,13.05,0.95,SIB
0,-0.71,0.00%,-%,9.45,10.00,19.25,"6,674.88",1,8.37,11.78,-,SJ01
0,59.40,5.00%,0.67%,2.45,10.00,36.62,"3,732.90",1,21.14,30.29,1.25,SRE02
0,618.16,120.00%,0.63%,70.65,10.00,26.61,"10,918.22",1,15.97,26.91,3.08,SRF
0,26.68,100.00%,0.67%,6.40,2.00,31.64,"11,929.96",1,27.96,46.48,11.15,ST20
0,360.99,45.00%,1.15%,98.97,10.00,29.05,"3,508.97",1,3.64,3.96,1.09,SA10
0,69.84,175.00%,0.77%,12.72,2.00,22.45,"3,143.96",1,21.50,35.70,6.50,SCI08
0,84.93,350.00%,0.61%,-,1.00,29.05,"137,013.43",1,-,-,6.72,SPI
0,-1.47,0.00%,-%,-,1.00,39.36,"10,446.48",1,-,-,-,SPA
0,129.79,200.00%,1.10%,27.74,5.00,35.36,"35,804.56",1,23.36,32.75,7.00,STN01
0,79.98,450.00%,0.70%,17.49,1.00,35.63,"13,500.75",1,28.99,36.74,8.03,SF23
0,67.15,150.00%,0.38%,8.45,1.00,30.60,"5,735.55",1,46.06,46.39,5.84,SR05
0,154.53,750.00%,1.20%,32.24,2.00,37.42,"15,854.22",1,27.49,38.71,8.08,SI48
0,69.92,100.00%,0.42%,12.45,1.00,29.05,"3,035.69",1,16.89,19.16,3.41,SLS01
0,-0.14,0.00%,-%,-,2.00,23.24,"4,239.86",1,-,-,-,SE17
0,21.05,7.50%,0.05%,2.98,1.00,21.70,"4,049.78",1,51.81,55.64,7.88,SM09
0,91.61,225.00%,0.32%,26.15,2.00,48.93,"9,688.00",1,51.73,52.96,15.12,SCS04
0,94.49,0.00%,-%,-,10.00,12.43,"6,994.24",1,-,-,0.52,SB9
0,85.91,10.00%,0.17%,15.26,10.00,39.36,"11,687.00",1,26.77,38.29,6.80,SI10
0,33.98,100.00%,0.34%,1.03,1.00,21.82,"4,403.72",1,275.60,288.98,8.76,TS09
0,240.19,75.00%,2.71%,-,10.00,13.31,"1,917.13",1,10.67,-,1.15,TNN
0,416.96,110.00%,1.49%,69.36,10.00,9.86,"18,794.64",1,9.93,10.64,1.77,TC
0,49.27,150.00%,1.23%,3.36,1.00,32.14,"2,279.53",1,26.77,36.32,2.48,TC14
0,334.10,60.00%,0.98%,9.36,10.00,341.93,"17,375.03",1,15.84,65.13,1.82,TC17
0,89.76,160.00%,1.23%,38.54,10.00,21.82,"8,119.60",1,30.59,33.83,14.53,TE
0,66.76,250.00%,0.92%,8.47,1.00,32.14,"17,217.22",1,30.65,32.21,4.09,TT
0,486.81,180.00%,1.98%,43.10,10.00,36.62,"5,003.20",1,21.05,21.07,1.87,TIC
0,68.13,0.00%,-%,-,2.00,37.26,"87,544.41",1,43.25,-,4.45,TM03
0,68.13,0.00%,-%,-,2.00,37.26,"5,777.41",1,25.68,-,2.64,TMD
0,43.99,130.00%,1.71%,-,1.00,11.73,"20,596.85",1,-,-,1.73,TPC
0,653.06,110.00%,1.00%,91.47,10.00,9.66,"1,691.38",1,11.04,12.01,1.68,TSI
0,478.87,100.00%,1.77%,34.63,10.00,16.94,"68,147.14",1,8.63,16.34,1.18,TIS
0,198.16,5000.00%,2.72%,65.93,1.00,21.82,"705,012.98",1,26.22,27.93,9.29,TCS
0,172.35,180.00%,1.27%,40.80,5.00,21.82,"69,310.35",1,14.89,17.33,4.10,TM4
0,87.31,0.00%,-%,11.74,2.00,23.24,"3,296.52",1,24.42,24.92,3.35,TEE
0,47.51,25.00%,0.35%,0.46,1.00,23.24,"1,578.52",1,54.77,155.98,1.51,TRE
0,222.23,300.00%,0.53%,19.99,2.00,29.78,"13,433.09",1,44.42,56.40,5.07,T
0,31.32,37.50%,0.13%,14.35,1.00,21.95,"10,360.60",1,18.84,19.49,8.93,TCI
0,96.14,100.00%,1.67%,17.88,10.00,48.56,"3,209.18",1,29.67,33.41,6.21,TT16
0,51.63,125.00%,0.19%,3.16,1.00,36.62,"12,098.35",1,204.07,204.07,12.49,TII
0,104.39,10.00%,0.13%,13.54,10.00,34.51,"5,130.60",1,37.95,55.72,7.23,TI23
0,77.73,40.00%,0.80%,0.25,2.00,23.24,"1,155.00",1,72.46,400.00,1.29,TW04
0,61.67,260.00%,0.29%,13.10,1.00,68.71,"80,215.92",1,63.05,68.97,14.65,TI01
0,263.18,280.00%,0.95%,28.48,5.00,29.05,"25,050.22",1,28.93,51.98,5.62,TP06
0,162.42,22.00%,0.87%,19.18,10.00,11.73,"12,169.22",1,5.99,13.20,1.56,TP14
0,49.88,100.00%,0.31%,3.51,1.00,71.87,"10,801.96",1,68.14,92.61,6.52,T04
0,58.64,15.00%,2.41%,5.18,10.00,14.46,"3,174.78",1,4.76,12.03,1.06,AI01
0,14.97,120.00%,1.06%,2.98,1.00,32.05,"3,723.74",1,31.70,37.87,7.54,TT14
0,962.42,270.00%,0.46%,222.38,10.00,48.93,"6,756.63",1,23.96,26.30,6.08,TTK02
0,125.58,40.00%,0.44%,19.68,5.00,35.36,"2,724.08",1,18.32,23.20,3.64,TVT
0,22.13,0.00%,-%,0.56,2.00,35.36,"9,874.71",1,85.97,102.86,2.60,IBN
0,64.64,250.00%,0.43%,13.95,1.00,22.15,"27,638.19",1,27.60,41.70,9.00,TVS
0,904.51,507.00%,1.69%,153.60,10.00,27.04,"2,300.91",1,12.38,19.56,3.32,TVS03
0,23.06,0.00%,-%,-,10.00,12.43,"7,712.52",1,-,-,0.85,UCO
0,296.73,35.00%,1.17%,13.98,10.00,24.28,"2,152.26",1,6.68,21.32,1.00,U01
0,145.06,5.00%,0.13%,0.03,10.00,36.62,"4,709.37",1,"9,733.75","12,978.33",2.68,UFS01
0,953.06,100.00%,0.27%,81.25,10.00,36.29,"101,515.18",1,25.41,45.50,3.88,UTC01
0,523.65,150.00%,1.24%,363.48,2.00,29.05,"1,697.58",1,0.65,0.66,0.46,UL02
0,159.76,0.00%,-%,-,10.00,12.43,"10,563.90",1,-,-,0.57,UBI01
0,31.08,0.00%,-%,-,2.00,30.60,"1,237.51",1,-,-,0.15,U
0,103.12,115.00%,0.09%,14.90,1.00,69.28,"33,638.95",1,51.47,85.39,12.34,UB02
0,161.32,350.00%,1.00%,10.76,2.00,39.10,"35,582.68",1,29.32,64.93,4.33,UP04
0,14.96,70.00%,0.33%,3.13,1.00,47.97,"9,074.17",1,59.69,68.08,14.24,VI02
0,172.20,200.00%,0.96%,21.43,2.00,29.78,"2,270.74",1,17.99,19.39,2.41,VTW
0,19.46,200.00%,4.85%,6.26,1.00,21.82,"4,362.27",1,5.39,6.58,2.12,VS
0,694.17,150.00%,1.23%,95.01,10.00,14.46,"6,991.05",1,9.03,12.81,1.75,VT10
0,125.77,25.00%,0.32%,13.27,10.00,51.97,"14,163.59",1,27.45,58.45,6.17,VB05
0,234.11,1945.00%,8.15%,19.52,1.00,15.10,"88,748.07",1,8.79,12.23,1.02,SG
0,250.88,0.00%,-%,-,10.00,29.93,264.56,1,-,-,0.03,VLF
0,75.43,12.00%,2.13%,5.57,10.00,12.43,"7,348.87",1,8.86,10.12,0.75,VB03
0,160.32,25.00%,0.05%,28.00,2.00,32.43,"5,096.45",1,30.48,35.42,6.19,VO01
0,36.63,120.00%,0.54%,8.39,2.00,37.42,"6,303.46",1,48.70,53.16,12.18,VIP
0,105.36,350.00%,0.67%,15.15,1.00,22.07,"17,220.90",1,33.09,34.35,4.94,V
0,463.87,750.00%,2.49%,117.79,10.00,28.93,"4,655.12",1,21.06,25.59,6.50,VST
0,811.52,140.00%,0.10%,143.84,5.00,64.25,"13,920.31",1,41.61,51.02,9.04,WAB
0,72.97,10.00%,0.37%,4.74,5.00,19.46,"3,565.97",1,9.81,28.36,1.84,WGS
0,24.93,65.00%,1.11%,3.03,1.00,19.56,"5,882.67",1,7.62,19.32,2.35,WI03
0,30.79,0.00%,-%,0.11,2.00,69.32,"5,753.63",1,"3,361.82","3,361.82",12.01,DIC
0,144.53,30.00%,0.19%,27.64,10.00,48.93,"19,660.06",1,43.48,56.06,10.72,WI
0,95.95,200.00%,1.50%,15.87,2.00,21.82,"129,893.95",1,14.87,16.81,2.78,W
0,116.43,200.00%,1.36%,6.21,5.00,29.05,"8,105.89",1,46.34,117.99,6.29,W05
0,84.00,10.00%,0.30%,6.81,10.00,21.95,"1,899.27",1,25.31,49.36,4.00,WH01
0,111.74,135.00%,0.82%,18.33,2.00,32.64,"76,197.23",1,17.10,18.03,2.96,YB
0,46.04,250.00%,0.45%,19.89,1.00,35.36,"53,281.69",1,26.00,27.89,12.05,ZEE
0,293.53,120.00%,0.98%,42.80,10.00,21.82,"5,534.83",1,23.19,28.74,4.19,ZT02
0,293.53,120.00%,0.98%,42.80,10.00,21.82,"5,534.83",1,23.19,28.74,4.19,
