,LINK,company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector
394,http://www.moneycontrol.com/india/stockpricequote/bearings/schaefflerindia/FAG,FAG,bearings,schaefflerindia,1020.21,170.0,0.31,148.38,10.0,34.51,8985.04,1,28.28,36.44,5.3,BEARINGS
396,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sequentscientific/PID01,PID01,pharmaceuticals,sequentscientific,68.26,0.0,,16.6,2.0,29.05,1562.35,1,3.83,3.86,0.94,PHARMACEUTICALS
397,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/shardacropchem/SC04,SC04,pesticidesagrochemicals,shardacropchem,120.06,40.0,1.01,21.43,10.0,39.1,3561.0,1,13.53,18.42,3.29,PESTICIDES & AGRO CHEMICALS
398,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/sheelafoam/SF14,SF14,miscellaneous,sheelafoam,112.12,0.0,,25.81,5.0,26.73,7390.6,1,48.08,58.7,13.51,MISCELLANEOUS
399,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/shilpamedicare/SM19,SM19,pharmaceuticals,shilpamedicare,133.62,60.0,0.15,16.56,1.0,29.05,3259.04,1,19.42,24.14,2.99,PHARMACEUTICALS
400,http://www.moneycontrol.com/india/stockpricequote/shipping/shippingcorporationindia/SCI,SCI,shipping,shippingcorporationindia,152.88,0.0,,5.45,10.0,18.22,3067.29,1,3.55,12.08,0.43,SHIPPING
401,http://www.moneycontrol.com/india/stockpricequote/retail/shoppersstop/SS51,SS51,retail,shoppersstop,88.03,15.0,0.13,1.32,5.0,151.28,4957.35,1,40.13,426.82,6.4,RETAIL
402,http://www.moneycontrol.com/india/stockpricequote/cementmajor/shreecements/SC12,SC12,cementmajor,shreecements,2607.07,1400.0,0.87,397.33,10.0,36.29,56329.88,1,24.67,40.7,6.2,CEMENT - MAJOR
404,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/shriramcityunionfinance/SCU,SCU,financeleasinghirepurchase,shriramcityunionfinance,762.27,150.0,0.65,100.77,10.0,36.62,15244.6,1,21.84,22.93,3.03,FINANCE - LEASING & HIRE PURCHASE
405,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/shriramtransportfinancecorporation/STF,STF,financeleasinghirepurchase,shriramtransportfinancecorporation,567.26,100.0,0.68,69.11,10.0,36.62,33215.63,1,20.71,21.18,2.58,FINANCE - LEASING & HIRE PURCHASE
406,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/siemens/S,S,infrastructuregeneral,siemens,216.35,350.0,0.7,33.61,2.0,37.67,35526.56,1,25.49,29.68,4.61,INFRASTRUCTURE - GENERAL
408,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/sjvn/S11,S11,powergenerationdistribution,sjvn,31.81,27.5,9.12,3.12,10.0,11.73,11848.33,1,7.46,9.66,0.95,POWER - GENERATION & DISTRIBUTION
409,http://www.moneycontrol.com/india/stockpricequote/bearings/skfindia/SKF01,SKF01,bearings,skfindia,410.17,150.0,0.84,57.65,10.0,34.51,9155.61,1,26.79,30.93,4.35,BEARINGS
410,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/smlisuzu/SM,SM,autolcvshcvs,smlisuzu,284.01,0.0,,5.87,10.0,37.26,1143.69,1,30.99,134.63,2.78,AUTO - LCVS & HCVS
411,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/sobha/SD6,SD6,constructioncontractingrealestate,sobha,285.41,20.0,0.41,20.44,10.0,30.6,4675.9,1,19.14,24.12,1.73,CONSTRUCTION & CONTRACTING - REAL ESTATE
412,http://www.moneycontrol.com/india/stockpricequote/chemicals/solarindustriesindia/SII04,SII04,chemicals,solarindustriesindia,87.62,250.0,0.42,14.84,2.0,73.28,10776.01,1,67.2,80.25,13.59,CHEMICALS
413,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/somanyceramics/SC49,SC49,ceramicsgranite,somanyceramics,134.72,135.0,0.49,15.36,2.0,25.51,2328.75,1,25.28,35.77,4.08,CERAMICS & GRANITE
414,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/sonatasoftware/SS42,SS42,computerssoftwaremediumsmall,sonatasoftware,57.76,900.0,2.79,14.39,1.0,21.82,3394.02,1,21.72,22.43,5.59,COMPUTERS - SOFTWARE MEDIUM & SMALL
415,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/southindianbank/SIB,SIB,banksprivatesector,southindianbank,25.43,40.0,1.66,1.85,1.0,32.64,4369.94,1,13.05,13.05,0.95,BANKS - PRIVATE SECTOR
416,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/spicejet/SJ01,SJ01,transportlogistics,spicejet,-0.71,0.0,,9.45,10.0,19.25,6674.88,1,8.37,11.78,,TRANSPORT & LOGISTICS
417,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/sreiinfrastructurefinance/SRE02,SRE02,financeleasinghirepurchase,sreiinfrastructurefinance,59.4,5.0,0.67,2.45,10.0,36.62,3732.9,1,21.14,30.29,1.25,FINANCE - LEASING & HIRE PURCHASE
418,http://www.moneycontrol.com/india/stockpricequote/textilesmanmade/srf/SRF,SRF,textilesmanmade,srf,618.16,120.0,0.63,70.65,10.0,26.61,10918.22,1,15.97,26.91,3.08,TEXTILES - MANMADE
419,http://www.moneycontrol.com/india/stockpricequote/cablestelephone/sterlitetechnologies/ST20,ST20,cablestelephone,sterlitetechnologies,26.68,100.0,0.67,6.4,2.0,31.64,11929.96,1,27.96,46.48,11.15,CABLES - TELEPHONE
420,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/stridesshasun/SA10,SA10,pharmaceuticals,stridesshasun,360.99,45.0,1.15,98.97,10.0,29.05,3508.97,1,3.64,3.96,1.09,PHARMACEUTICALS
421,http://www.moneycontrol.com/india/stockpricequote/dyespigments/sudarshanchemicalindustries/SCI08,SCI08,dyespigments,sudarshanchemicalindustries,69.84,175.0,0.77,12.72,2.0,22.45,3143.96,1,21.5,35.7,6.5,DYES & PIGMENTS
424,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/suntvnetwork/STN01,STN01,mediaentertainment,suntvnetwork,129.79,200.0,1.1,27.74,5.0,35.36,35804.56,1,23.36,32.75,7.0,MEDIA & ENTERTAINMENT
425,http://www.moneycontrol.com/india/stockpricequote/fasteners/sundramfasteners/SF23,SF23,fasteners,sundramfasteners,79.98,450.0,0.7,17.49,1.0,35.63,13500.75,1,28.99,36.74,8.03,FASTENERS
426,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/sunteckrealty/SR05,SR05,constructioncontractingrealestate,sunteckrealty,67.15,150.0,0.38,8.45,1.0,30.6,5735.55,1,46.06,46.39,5.84,CONSTRUCTION & CONTRACTING - REAL ESTATE
427,http://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,SI48,plastics,supremeindustries,154.53,750.0,1.2,32.24,2.0,37.42,15854.22,1,27.49,38.71,8.08,PLASTICS
428,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/suvenlifesciences/SLS01,SLS01,pharmaceuticals,suvenlifesciences,69.92,100.0,0.42,12.45,1.0,29.05,3035.69,1,16.89,19.16,3.41,PHARMACEUTICALS
430,http://www.moneycontrol.com/india/stockpricequote/trading/swanenergy/SM09,SM09,trading,swanenergy,21.05,7.5,0.05,2.98,1.0,21.7,4049.78,1,51.81,55.64,7.88,TRADING
431,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/symphony/SCS04,SCS04,consumergoodswhitegoods,symphony,91.61,225.0,0.32,26.15,2.0,48.93,9688.0,1,51.73,52.96,15.12,CONSUMER GOODS - WHITE GOODS
433,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/syngeneinternational/SI10,SI10,miscellaneous,syngeneinternational,85.91,10.0,0.17,15.26,10.0,39.36,11687.0,1,26.77,38.29,6.8,MISCELLANEOUS
434,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/takesolutions/TS09,TS09,computerssoftwaremediumsmall,takesolutions,33.98,100.0,0.34,1.03,1.0,21.82,4403.72,1,275.6,288.98,8.76,COMPUTERS - SOFTWARE MEDIUM & SMALL
436,http://www.moneycontrol.com/india/stockpricequote/chemicals/tatachemicals/TC,TC,chemicals,tatachemicals,416.96,110.0,1.49,69.36,10.0,9.86,18794.64,1,9.93,10.64,1.77,CHEMICALS
437,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/tatacoffee/TC14,TC14,plantationsteacoffee,tatacoffee,49.27,150.0,1.23,3.36,1.0,32.14,2279.53,1,26.77,36.32,2.48,PLANTATIONS - TEA & COFFEE
438,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/tatacommunications/TC17,TC17,telecommunicationsservice,tatacommunications,334.1,60.0,0.98,9.36,10.0,341.93,17375.03,1,15.84,65.13,1.82,TELECOMMUNICATIONS - SERVICE
439,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/tataelxsi/TE,TE,computerssoftware,tataelxsi,89.76,160.0,1.23,38.54,10.0,21.82,8119.6,1,30.59,33.83,14.53,COMPUTERS - SOFTWARE
440,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/tataglobalbeverage/TT,TT,plantationsteacoffee,tataglobalbeverage,66.76,250.0,0.92,8.47,1.0,32.14,17217.22,1,30.65,32.21,4.09,PLANTATIONS - TEA & COFFEE
441,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/tatainvestmentcorporation/TIC,TIC,financeinvestments,tatainvestmentcorporation,486.81,180.0,1.98,43.1,10.0,36.62,5003.2,1,21.05,21.07,1.87,FINANCE - INVESTMENTS
445,http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/tataspongeiron/TSI,TSI,steelspongeiron,tataspongeiron,653.06,110.0,1.0,91.47,10.0,9.66,1691.38,1,11.04,12.01,1.68,STEEL - SPONGE IRON
446,http://www.moneycontrol.com/india/stockpricequote/steellarge/tatasteel/TIS,TIS,steellarge,tatasteel,478.87,100.0,1.77,34.63,10.0,16.94,68147.14,1,8.63,16.34,1.18,STEEL - LARGE
447,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/tataconsultancyservices/TCS,TCS,computerssoftware,tataconsultancyservices,198.16,5000.0,2.72,65.93,1.0,21.82,705012.98,1,26.22,27.93,9.29,COMPUTERS - SOFTWARE
448,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/techmahindra/TM4,TM4,computerssoftware,techmahindra,172.35,180.0,1.27,40.8,5.0,21.82,69310.35,1,14.89,17.33,4.1,COMPUTERS - SOFTWARE
449,http://www.moneycontrol.com/india/stockpricequote/electricequipment/technoelectricengineeringcompany/TEE,TEE,electricequipment,technoelectricengineeringcompany,87.31,0.0,,11.74,2.0,23.24,3296.52,1,24.42,24.92,3.35,ELECTRIC EQUIPMENT
450,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/texmacorailengineering/TRE,TRE,infrastructuregeneral,texmacorailengineering,47.51,25.0,0.35,0.46,1.0,23.24,1578.52,1,54.77,155.98,1.51,INFRASTRUCTURE - GENERAL
451,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/thermax/T,T,infrastructuregeneral,thermax,222.23,300.0,0.53,19.99,2.0,29.78,13433.09,1,44.42,56.4,5.07,INFRASTRUCTURE - GENERAL
452,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/thomascookindia/TCI,TCI,miscellaneous,thomascookindia,31.32,37.5,0.13,14.35,1.0,21.95,10360.6,1,18.84,19.49,8.93,MISCELLANEOUS
453,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/thyrocaretechnologies/TT16,TT16,hospitalsmedicalservices,thyrocaretechnologies,96.14,100.0,1.67,17.88,10.0,48.56,3209.18,1,29.67,33.41,6.21,HOSPITALS & MEDICAL SERVICES
454,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/tifinancialholdings/TII,TII,miscellaneous,tifinancialholdings,51.63,125.0,0.19,3.16,1.0,36.62,12098.35,1,204.07,204.07,12.49,MISCELLANEOUS
455,http://www.moneycontrol.com/india/stockpricequote/bearings/timkenindia/TI23,TI23,bearings,timkenindia,104.39,10.0,0.13,13.54,10.0,34.51,5130.6,1,37.95,55.72,7.23,BEARINGS
456,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/titagarhwagons/TW04,TW04,infrastructuregeneral,titagarhwagons,77.73,40.0,0.8,0.25,2.0,23.24,1155.0,1,72.46,400.0,1.29,INFRASTRUCTURE - GENERAL
457,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01,TI01,miscellaneous,titancompany,61.67,260.0,0.29,13.1,1.0,68.71,80215.92,1,63.05,68.97,14.65,MISCELLANEOUS
458,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06,TP06,pharmaceuticals,torrentpharmaceuticals,263.18,280.0,0.95,28.48,5.0,29.05,25050.22,1,28.93,51.98,5.62,PHARMACEUTICALS
459,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/torrentpower/TP14,TP14,powergenerationdistribution,torrentpower,162.42,22.0,0.87,19.18,10.0,11.73,12169.22,1,5.99,13.2,1.56,POWER - GENERATION & DISTRIBUTION
460,http://www.moneycontrol.com/india/stockpricequote/retail/trent/T04,T04,retail,trent,49.88,100.0,0.31,3.51,1.0,71.87,10801.96,1,68.14,92.61,6.52,RETAIL
461,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/trident/AI01,AI01,textilesspinningcottonblended,trident,58.64,15.0,2.41,5.18,10.0,14.46,3174.78,1,4.76,12.03,1.06,TEXTILES - SPINNING - COTTON BLENDED
462,http://www.moneycontrol.com/india/stockpricequote/electricequipment/triveniturbine/TT14,TT14,electricequipment,triveniturbine,14.97,120.0,1.06,2.98,1.0,32.05,3723.74,1,31.7,37.87,7.54,ELECTRIC EQUIPMENT
463,http://www.moneycontrol.com/india/stockpricequote/domesticappliances/ttkprestige/TTK02,TTK02,domesticappliances,ttkprestige,962.42,270.0,0.46,222.38,10.0,48.93,6756.63,1,23.96,26.3,6.08,DOMESTIC APPLIANCES
464,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tvtodaynetwork/TVT,TVT,mediaentertainment,tvtodaynetwork,125.58,40.0,0.44,19.68,5.0,35.36,2724.08,1,18.32,23.2,3.64,MEDIA & ENTERTAINMENT
465,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tv18broadcast/IBN,IBN,mediaentertainment,tv18broadcast,22.13,0.0,,0.56,2.0,35.36,9874.71,1,85.97,102.86,2.6,MEDIA & ENTERTAINMENT
466,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/tvsmotorcompany/TVS,TVS,auto23wheelers,tvsmotorcompany,64.64,250.0,0.43,13.95,1.0,22.15,27638.19,1,27.6,41.7,9.0,AUTO - 2 & 3 WHEELERS
467,http://www.moneycontrol.com/india/stockpricequote/tyres/tvssrichakra/TVS03,TVS03,tyres,tvssrichakra,904.51,507.0,1.69,153.6,10.0,27.04,2300.91,1,12.38,19.56,3.32,TYRES
469,http://www.moneycontrol.com/india/stockpricequote/packaging/uflex/U01,U01,packaging,uflex,296.73,35.0,1.17,13.98,10.0,24.28,2152.26,1,6.68,21.32,1.0,PACKAGING
470,http://www.moneycontrol.com/india/stockpricequote/financegeneral/ujjivanfinancialservices/UFS01,UFS01,financegeneral,ujjivanfinancialservices,145.06,5.0,0.13,0.03,10.0,36.62,4709.37,1,9733.75,12978.33,2.68,FINANCE - GENERAL
471,http://www.moneycontrol.com/india/stockpricequote/cementmajor/ultratechcement/UTC01,UTC01,cementmajor,ultratechcement,953.06,100.0,0.27,81.25,10.0,36.29,101515.18,1,25.41,45.5,3.88,CEMENT - MAJOR
472,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/unichemlaboratories/UL02,UL02,pharmaceuticals,unichemlaboratories,523.65,150.0,1.24,363.48,2.0,29.05,1697.58,1,0.65,0.66,0.46,PHARMACEUTICALS
475,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/unitedbreweries/UB02,UB02,breweriesdistilleries,unitedbreweries,103.12,115.0,0.09,14.9,1.0,69.28,33638.95,1,51.47,85.39,12.34,BREWERIES & DISTILLERIES
476,http://www.moneycontrol.com/india/stockpricequote/chemicals/upl/UP04,UP04,chemicals,upl,161.32,350.0,1.0,10.76,2.0,39.1,35582.68,1,29.32,64.93,4.33,CHEMICALS
477,http://www.moneycontrol.com/india/stockpricequote/electricequipment/vguardindustries/VI02,VI02,electricequipment,vguardindustries,14.96,70.0,0.33,3.13,1.0,47.97,9074.17,1,59.69,68.08,14.24,ELECTRIC EQUIPMENT
478,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/vatechwabag/VTW,VTW,infrastructuregeneral,vatechwabag,172.2,200.0,0.96,21.43,2.0,29.78,2270.74,1,17.99,19.39,2.41,INFRASTRUCTURE - GENERAL
479,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/vakrangee/VS,VS,computerssoftwaremediumsmall,vakrangee,19.46,200.0,4.85,6.26,1.0,21.82,4362.27,1,5.39,6.58,2.12,COMPUTERS - SOFTWARE MEDIUM & SMALL
480,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/vardhmantextiles/VT10,VT10,textilesspinningcottonblended,vardhmantextiles,694.17,150.0,1.23,95.01,10.0,14.46,6991.05,1,9.03,12.81,1.75,TEXTILES - SPINNING - COTTON BLENDED
481,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/varunbeverages/VB05,VB05,foodprocessing,varunbeverages,125.77,25.0,0.32,13.27,10.0,51.97,14163.59,1,27.45,58.45,6.17,FOOD PROCESSING
482,http://www.moneycontrol.com/india/stockpricequote/miningminerals/vedanta/SG,SG,miningminerals,vedanta,234.11,1945.0,8.15,19.52,1.0,15.1,88748.07,1,8.79,12.23,1.02,MINING & MINERALS
484,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/vijayabank/VB03,VB03,bankspublicsector,vijayabank,75.43,12.0,2.13,5.57,10.0,12.43,7348.87,1,8.86,10.12,0.75,BANKS - PUBLIC SECTOR
485,http://www.moneycontrol.com/india/stockpricequote/chemicals/vinatiorganics/VO01,VO01,chemicals,vinatiorganics,160.32,25.0,0.05,28.0,2.0,32.43,5096.45,1,30.48,35.42,6.19,CHEMICALS
486,http://www.moneycontrol.com/india/stockpricequote/plastics/vipindustries/VIP,VIP,plastics,vipindustries,36.63,120.0,0.54,8.39,2.0,37.42,6303.46,1,48.7,53.16,12.18,PLASTICS
487,http://www.moneycontrol.com/india/stockpricequote/diversified/voltas/V,V,diversified,voltas,105.36,350.0,0.67,15.15,1.0,22.07,17220.9,1,33.09,34.35,4.94,DIVERSIFIED
488,http://www.moneycontrol.com/india/stockpricequote/cigarettes/vstindustries/VST,VST,cigarettes,vstindustries,463.87,750.0,2.49,117.79,10.0,28.93,4655.12,1,21.06,25.59,6.5,CIGARETTES
489,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/wabcoindia/WAB,WAB,autoancillaries,wabcoindia,811.52,140.0,0.1,143.84,5.0,64.25,13920.31,1,41.61,51.02,9.04,AUTO ANCILLARIES
490,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/welspuncorp/WGS,WGS,steeltubespipes,welspuncorp,72.97,10.0,0.37,4.74,5.0,19.46,3565.97,1,9.81,28.36,1.84,STEEL - TUBES & PIPES
491,http://www.moneycontrol.com/india/stockpricequote/textilesweaving/welspunindia/WI03,WI03,textilesweaving,welspunindia,24.93,65.0,1.11,3.03,1.0,19.56,5882.67,1,7.62,19.32,2.35,TEXTILES - WEAVING
492,http://www.moneycontrol.com/india/stockpricequote/hotels/westlifedevelopment/DIC,DIC,hotels,westlifedevelopment,30.79,0.0,,0.11,2.0,69.32,5753.63,1,3361.82,3361.82,12.01,HOTELS
493,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/whirlpoolindia/WI,WI,consumergoodswhitegoods,whirlpoolindia,144.53,30.0,0.19,27.64,10.0,48.93,19660.06,1,43.48,56.06,10.72,CONSUMER GOODS - WHITE GOODS
494,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/wipro/W,W,computerssoftware,wipro,95.95,200.0,1.5,15.87,2.0,21.82,129893.95,1,14.87,16.81,2.78,COMPUTERS - SOFTWARE
495,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/wockhardt/W05,W05,pharmaceuticals,wockhardt,116.43,200.0,1.36,6.21,5.0,29.05,8105.89,1,46.34,117.99,6.29,PHARMACEUTICALS
496,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/wonderlaholidays/WH01,WH01,miscellaneous,wonderlaholidays,84.0,10.0,0.3,6.81,10.0,21.95,1899.27,1,25.31,49.36,4.0,MISCELLANEOUS
497,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/yesbank/YB,YB,banksprivatesector,yesbank,111.74,135.0,0.82,18.33,2.0,32.64,76197.23,1,17.1,18.03,2.96,BANKS - PRIVATE SECTOR
498,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/zeeentertainmententerprises/ZEE,ZEE,mediaentertainment,zeeentertainmententerprises,46.04,250.0,0.45,19.89,1.0,35.36,53281.69,1,26.0,27.89,12.05,MEDIA & ENTERTAINMENT
499,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/zensartechnologies/ZT02,ZT02,computerssoftware,zensartechnologies,293.53,120.0,0.98,42.8,10.0,21.82,5534.83,1,23.19,28.74,4.19,COMPUTERS - SOFTWARE
