,LINK,MARKET CAP (Rs Cr),P/E,BOOK VALUE (Rs),DIV (%),Market Lot,INDUSTRY P/E,EPS (TTM),P/C,PRICE/BOOK,DIV YIELD.(%),FACE VALUE (Rs),sector,company_code,company_name
0,http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,"22,112.99",71.21,1364.33,0.00%,1,21.24,275.66,62.76,14.39,-%,10.00,diversified,MI42,3mindia
1,http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,"25,131.57",26.48,498.72,260.00%,1,35.64,50.54,15.81,2.68,1.94%,10.00,cementmajor,ACC06,acc
2,http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,"12,416.86",63.07,36.04,40.00%,1,43.05,1.79,43.59,3.13,0.35%,1.00,trading,AE13,adanienterprises
3,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,"10,680.64",90.46,12.43,0.00%,1,68.90,1.53,26.77,11.13,-%,10.00,retail,PFR,adityabirlafashionretail
4,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET,"2,413.85",67.35,26.06,20.00%,1,24.28,3.21,55.29,8.30,0.19%,2.00,pharmaceuticals,AET,advancedenzymetechnologies
5,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02,"2,592.09",90.17,55.81,100.00%,1,40.69,1.17,19.87,1.89,1.90%,2.00,transportlogistics,AGL02,allcargologistics
6,http://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18,"41,192.21",32.31,100.59,180.00%,1,35.64,6.42,22.28,2.06,1.74%,2.00,cementmajor,AC18,ambujacements
7,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/astramicrowaveproducts/AMP01,851.39,14.02,59.44,50.00%,1,27.31,7.01,9.70,1.65,1.02%,2.00,telecommunicationsequipment,AMP01,astramicrowaveproducts
8,http://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02,"12,085.31",101.50,69.71,50.00%,1,84.99,9.94,72.95,14.47,0.05%,1.00,plastics,APT02,astralpolytechnik
9,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16,"131,067.69",477.01,217.28,0.00%,1,32.65,1.07,155.14,2.35,-%,2.00,banksprivatesector,AB16,axisbank
10,http://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC,"2,403.74",13.01,118.49,70.00%,1,21.24,16.21,11.37,1.78,3.32%,10.00,diversified,BLC,balmerlawriecompany
11,http://www.moneycontrol.com/india/stockpricequote/financegeneral/bharatfinancialinclusion/SM11,"16,104.38",35.36,175.59,0.00%,1,34.92,32.67,34.36,6.58,-%,10.00,financegeneral,SM11,bharatfinancialinclusion
12,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE,"26,342.30",32.61,87.96,79.00%,1,21.24,2.20,16.53,0.82,2.20%,2.00,infrastructuregeneral,BHE,bharatheavyelectricals
13,http://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,"80,598.59",10.18,137.83,310.00%,1,7.49,36.51,7.63,2.70,8.34%,10.00,refineries,BPC,bharatpetroleumcorporation
14,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI,"74,736.82",78.85,294.01,1100.00%,1,64.80,78.95,70.00,21.17,0.35%,2.00,foodprocessing,BI,britanniaindustries
15,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,"38,625.81",35.39,75.30,320.00%,1,28.83,10.66,27.91,5.01,0.85%,1.00,pharmaceuticals,CHC,cadilahealthcare
16,http://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH,"4,539.96",15.05,101.12,100.00%,1,24.02,22.66,14.90,3.37,0.59%,2.00,financehousing,CFH,canfinhomes
17,http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI,"9,896.24",26.63,255.47,55.00%,1,21.24,33.27,14.44,3.47,0.62%,10.00,diversified,CTI,centurytextilesindustries
18,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES,"12,121.02",13.92,1070.79,100.00%,1,11.31,65.71,9.30,0.85,1.09%,10.00,powergenerationdistribution,CES,cesc
19,http://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC,"6,449.14",13.43,72.45,19.00%,1,13.56,11.54,11.87,2.14,1.23%,10.00,fertilisers,CFC,chambalfertiliserschemicals
20,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB,"23,651.96",24.28,338.16,55.00%,1,34.92,62.31,23.10,4.47,0.36%,10.00,financeleasinghirepurchase,CDB,cholamandalaminvestmentfinancecompany
21,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI,"12,972.28",54.48,113.04,2800.00%,1,38.62,33.16,48.65,15.98,1.55%,1.00,miscellaneous,CRI,crisil
22,http://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI,"69,043.28",64.40,23.93,750.00%,1,66.93,6.07,58.78,16.34,1.92%,1.00,personalcare,DI,daburindia
23,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dbcorp/C13,"4,728.60",14.57,86.87,40.00%,1,14.79,17.63,11.35,2.96,1.56%,10.00,mediaentertainment,C13,dbcorp
24,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dlf/D04,"33,656.76",92.02,84.46,100.00%,1,28.23,2.05,67.62,2.23,1.06%,2.00,constructioncontractingrealestate,D04,dlf
25,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL,"37,075.10",65.39,698.95,400.00%,1,28.83,34.16,27.65,3.20,0.90%,5.00,pharmaceuticals,DRL,drreddyslaboratories
26,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01,"17,592.70",64.77,130.43,25.00%,1,36.84,19.31,39.87,9.59,0.20%,10.00,auto23wheelers,ET01,endurancetechnologies
27,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI,"21,947.00",32.85,66.26,240.00%,1,30.16,7.86,24.00,3.90,0.93%,1.00,autoancillaries,EI,exideindustries
28,http://www.moneycontrol.com/india/stockpricequote/retail/futurelifestylefashions/FLF01,"8,404.15",76.08,91.76,40.00%,1,76.05,5.68,32.35,4.71,0.19%,2.00,retail,FLF01,futurelifestylefashions
29,http://www.moneycontrol.com/india/stockpricequote/financehousing/gichousingfinance/GIC,"1,896.90",10.28,189.90,50.00%,1,24.02,34.25,10.25,1.85,1.42%,10.00,financehousing,GIC,gichousingfinance
30,http://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22,"20,987.98",90.42,153.63,1640.00%,1,66.93,71.23,77.60,41.93,2.55%,10.00,personalcare,GI22,gilletteindia
31,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04,"27,438.93",39.19,908.98,700.00%,1,64.80,166.47,35.89,7.18,1.07%,10.00,foodprocessing,GSC04,glaxosmithklineconsumerhealthcare
32,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,"23,768.51",67.54,245.56,350.00%,1,28.83,41.55,60.95,11.43,1.25%,10.00,pharmaceuticals,GSK,glaxosmithklinepharmaceuticals
33,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,"16,439.12",16.21,370.38,200.00%,1,28.83,35.95,14.51,1.57,0.34%,1.00,pharmaceuticals,GP08,glenmarkpharma
34,http://www.moneycontrol.com/india/stockpricequote/financehousing/gruhfinance/GRU,"22,301.61",61.47,18.88,165.00%,1,24.02,4.96,60.98,16.15,1.08%,2.00,financehousing,GRU,gruhfinance
35,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02,"10,109.54",15.12,91.60,15.00%,1,15.43,11.86,11.99,1.96,0.84%,10.00,oildrillingandexploration,GSP02,gujaratstatepetronet
36,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02,"129,062.18",17.53,186.49,600.00%,1,22.18,52.87,15.63,4.97,1.29%,2.00,computerssoftware,HCL02,hcltechnologies
37,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/housingdevelopmentinfrastructure/HDI,898.39,9.41,263.04,0.00%,1,28.23,2.20,8.81,0.08,-%,10.00,constructioncontractingrealestate,HDI,housingdevelopmentinfrastructure
38,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustanzinc/HZ,"116,513.17",12.72,94.86,1470.00%,1,12.56,21.67,10.95,2.91,10.66%,2.00,metalsnonferrous,HZ,hindustanzinc
39,http://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC,"39,482.24",6.21,120.46,300.00%,1,7.49,41.72,4.33,2.15,11.58%,10.00,refineries,HPC,hindustanpetroleumcorporation
40,http://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU,"355,400.40",67.87,32.69,2000.00%,1,66.93,24.19,62.19,50.22,1.22%,1.00,personalcare,HU,hindustanunilever
41,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02,"177,195.46",26.14,150.67,125.00%,1,32.65,10.54,26.14,1.83,0.91%,2.00,banksprivatesector,ICI02,icicibank
42,http://www.moneycontrol.com/india/stockpricequote/financegeneral/iiflholdings/II15,"21,375.37",104.52,47.01,225.00%,1,34.92,6.41,104.36,14.25,0.67%,2.00,financegeneral,II15,iiflholdings
43,http://www.moneycontrol.com/india/stockpricequote/financehousing/indiabullshousingfinance/IHF01,"48,546.26",13.61,361.84,1350.00%,1,34.92,83.61,13.51,3.15,2.37%,2.00,financehousing,IHF01,indiabullshousingfinance
44,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/indiabullsventures/IS13,"29,453.41",566.10,38.01,50.00%,1,34.92,0.86,547.02,12.81,0.21%,2.00,financeinvestments,IS13,indiabullsventures
45,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianbank/IB04,"16,185.83",12.86,329.53,0.00%,1,11.67,26.21,10.82,1.02,-%,10.00,bankspublicsector,IB04,indianbank
46,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jkumarinfraprojects/KI01,"1,702.47",12.47,201.62,40.00%,1,28.23,18.05,8.13,1.12,0.89%,5.00,constructioncontractingcivil,KI01,jkumarinfraprojects
47,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/jaiprakashassociates/JA02,"3,904.09",11.07,32.52,0.00%,1,28.23,1.45,4.55,0.49,-%,2.00,infrastructuregeneral,JA02,jaiprakashassociates
48,http://www.moneycontrol.com/india/stockpricequote/packaging/jindalpolyfilms/JPF01,940.09,64.67,422.11,10.00%,1,22.08,3.32,8.06,0.51,0.47%,10.00,packaging,JPF01,jindalpolyfilms
49,http://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01,"2,764.86",64.16,75.70,125.00%,1,25.91,1.90,12.67,1.61,2.05%,2.00,tyres,JKT01,jktyreindustries
50,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/johnsoncontrolshitachiairconditioningindia/HHL,"6,520.24",65.11,198.28,15.00%,1,19.08,36.83,42.59,12.09,0.06%,10.00,consumergoodswhitegoods,HHL,johnsoncontrolshitachiairconditioningindia
51,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP,"23,879.53",46.25,57.99,260.00%,1,55.61,9.58,40.32,7.64,0.59%,1.00,paintsvarnishes,KNP,kansainerolacpaints
52,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karnatakabank/KB04,"3,097.03",9.51,181.91,40.00%,1,32.65,11.52,9.51,0.60,3.65%,10.00,banksprivatesector,KB04,karnatakabank
53,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/kitexgarments/KG01,986.20,14.08,68.52,150.00%,1,48.29,10.53,10.56,2.16,1.01%,1.00,textilesreadymadeapparels,KG01,kitexgarments
54,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/ltfinanceholdings/LFH,"30,225.71",82.31,38.17,8.00%,1,34.92,1.84,82.31,3.97,0.53%,10.00,financeinvestments,LFH,ltfinanceholdings
55,http://www.moneycontrol.com/india/stockpricequote/financehousing/lichousingfinance/LIC,"23,625.80",11.88,258.92,310.00%,1,24.02,39.42,11.82,1.81,1.32%,2.00,financehousing,LIC,lichousingfinance
56,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,"40,859.90",30.39,326.90,375.00%,1,28.83,29.74,23.56,2.76,0.83%,2.00,pharmaceuticals,L,lupin
57,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/mahindramahindrafinancialservices/MMF04,"28,933.02",32.43,119.46,120.00%,1,34.92,14.44,30.91,3.92,0.51%,2.00,financeleasinghirepurchase,MMF04,mahindramahindrafinancialservices
58,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/mahindracieautomotive/MF19,"9,755.18",106.93,92.45,0.00%,1,44.13,2.41,58.44,2.79,-%,10.00,castingsforgings,MF19,mahindracieautomotive
59,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/manappuramfinance/MGF01,"8,315.84",11.88,47.61,100.00%,1,34.92,8.31,10.93,2.07,2.03%,2.00,financeleasinghirepurchase,MGF01,manappuramfinance
60,http://www.moneycontrol.com/india/stockpricequote/personalcare/marico/M13,"42,656.61",59.43,28.22,350.00%,1,66.93,5.56,54.35,11.71,1.06%,1.00,personalcare,M13,marico
61,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/marksanspharma/MP21,"1,082.63",88.17,10.54,5.00%,1,28.83,0.30,44.08,2.51,0.19%,1.00,pharmaceuticals,MP21,marksanspharma
62,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/maxfinancialservices/MI,"11,617.03",94.50,68.12,0.00%,1,34.92,4.58,92.88,6.35,-%,2.00,financeinvestments,MI,maxfinancialservices
63,http://www.moneycontrol.com/india/stockpricequote/trading/mmtc/MMT,"5,017.50",101.36,9.56,30.00%,1,43.05,0.33,92.92,3.50,0.90%,1.00,trading,MMT,mmtc
64,http://www.moneycontrol.com/india/stockpricequote/miningminerals/moil/M18,"4,625.61",10.96,105.32,110.00%,1,14.25,15.84,9.55,1.65,6.33%,10.00,miningminerals,M18,moil
65,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/mothersonsumisystems/MSS01,"59,506.57",67.62,11.90,200.00%,1,67.60,4.18,54.25,23.75,0.71%,1.00,autoancillaries,MSS01,mothersonsumisystems
66,http://www.moneycontrol.com/india/stockpricequote/financegeneral/motilaloswalfinancialservices/MOF01,"11,252.68",86.76,55.07,250.00%,1,34.92,8.94,82.60,14.08,0.32%,1.00,financegeneral,MOF01,motilaloswalfinancialservices
67,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/nestleindia/NI,"95,078.91",70.82,354.77,860.00%,1,64.80,139.24,56.44,27.80,0.87%,10.00,foodprocessing,NI,nestleindia
68,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/nhpc/N07,"24,006.81",8.70,28.95,18.00%,1,11.31,2.69,5.76,0.81,7.69%,10.00,powergenerationdistribution,N07,nhpc
69,http://www.moneycontrol.com/india/stockpricequote/miningminerals/nmdc/NMD02,"34,170.02",8.98,83.20,515.00%,1,14.25,12.03,8.41,1.30,4.77%,1.00,miningminerals,NMD02,nmdc
70,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/ntpc/NTP,"131,473.93",12.72,129.25,47.80%,1,11.31,12.54,7.54,1.23,3.00%,10.00,powergenerationdistribution,NTP,ntpc
71,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/oberoirealty/OR,"17,351.10",41.60,123.37,20.00%,1,28.23,11.47,37.99,3.87,0.42%,10.00,constructioncontractingrealestate,OR,oberoirealty
72,http://www.moneycontrol.com/india/stockpricequote/cementmajor/oclindia/OCL,"6,048.49",14.32,488.16,250.00%,1,35.64,74.21,10.25,2.18,0.47%,2.00,cementmajor,OCL,oclindia
73,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilindia/OI13,"23,793.26",8.92,255.93,95.00%,1,11.19,23.51,6.04,0.82,4.53%,10.00,oildrillingandexploration,OI13,oilindia
74,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilnaturalgascorporation/ONG,"203,021.78",10.18,160.12,121.00%,1,11.19,15.54,5.90,0.99,3.82%,5.00,oildrillingandexploration,ONG,oilnaturalgascorporation
75,http://www.moneycontrol.com/india/stockpricequote/personalcare/proctergamblehygienehealthcare/PGH,"32,141.32",78.77,162.08,3890.00%,1,66.93,125.71,68.70,61.09,3.93%,10.00,personalcare,PGH,proctergamblehygienehealthcare
76,http://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/pcjeweller/PJ,"5,384.49",9.49,70.83,10.00%,1,23.81,14.38,9.16,1.93,0.73%,10.00,diamondcuttingjewellerypreciousmetals,PJ,pcjeweller
77,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/petronetlng/PLN,"32,872.50",15.82,53.88,25.00%,1,15.43,13.85,13.20,4.07,1.14%,10.00,oildrillingandexploration,PLN,petronetlng
78,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/powergridcorporationindia/PGC,"98,092.31",11.90,110.95,10.00%,1,13.50,15.75,5.66,1.69,0.53%,10.00,powergenerationdistribution,PGC,powergridcorporationindia
79,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/prestigeestatesprojects/PEP02,"10,104.38",43.53,132.66,12.00%,1,28.23,6.19,35.13,2.03,0.45%,10.00,constructioncontractingrealestate,PEP02,prestigeestatesprojects
80,http://www.moneycontrol.com/india/stockpricequote/cementmajor/prismjohnson/PC,"5,262.59",-,20.38,0.00%,1,35.64,1.40,23.55,5.13,-%,10.00,cementmajor,PC,prismjohnson
81,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/reliancecapital/RC,"9,797.36",11.75,574.93,105.00%,1,34.92,33.00,11.46,0.67,2.71%,10.00,financeinvestments,RC,reliancecapital
82,http://www.moneycontrol.com/india/stockpricequote/shipping/shippingcorporationindia/SCI,"2,745.89",10.82,152.88,0.00%,1,16.98,5.45,3.18,0.39,-%,10.00,shipping,SCI,shippingcorporationindia
83,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/siemens/S,"34,862.39",29.13,216.35,350.00%,1,36.90,33.61,25.02,4.52,0.72%,2.00,infrastructuregeneral,S,siemens
84,http://www.moneycontrol.com/india/stockpricequote/chemicals/solarindustriesindia/SII04,"10,255.24",76.37,87.62,250.00%,1,70.52,14.84,63.96,12.93,0.44%,2.00,chemicals,SII04,solarindustriesindia
85,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/southindianbank/SIB,"4,026.14",12.03,27.64,40.00%,1,32.65,1.85,10.11,0.80,1.80%,1.00,banksprivatesector,SIB,southindianbank
86,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/spicejet/SJ01,"6,540.00",11.54,-0.71,0.00%,1,17.26,9.45,8.20,-,-%,10.00,transportlogistics,SJ01,spicejet
87,http://www.moneycontrol.com/india/stockpricequote/chemicals/tatachemicals/TC,"17,705.56",10.02,416.96,110.00%,1,9.24,69.36,9.35,1.67,1.58%,10.00,chemicals,TC,tatachemicals
88,http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/tataspongeiron/TSI,"1,474.47",10.47,640.54,200.00%,1,8.96,91.47,9.63,1.49,2.09%,10.00,steelspongeiron,TSI,tataspongeiron
89,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01,"78,023.09",67.09,61.67,260.00%,1,66.68,13.10,61.33,14.25,0.30%,1.00,miscellaneous,TI01,titancompany
90,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/torrentpower/TP14,"10,847.52",11.77,162.42,22.00%,1,11.31,19.18,5.34,1.39,0.97%,10.00,powergenerationdistribution,TP14,torrentpower
91,http://www.moneycontrol.com/india/stockpricequote/retail/trent/T04,"10,032.64",86.01,49.88,100.00%,1,68.90,3.51,63.29,6.05,0.33%,1.00,retail,T04,trent
92,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/trident/AI01,"2,874.12",10.89,58.64,15.00%,1,13.57,5.18,4.31,0.96,2.66%,10.00,textilesspinningcottonblended,AI01,trident
93,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tv18broadcast/IBN,"9,000.39",93.75,22.13,0.00%,1,33.06,0.56,78.36,2.37,-%,2.00,mediaentertainment,IBN,tv18broadcast
94,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/tvsmotorcompany/TVS,"26,239.06",39.59,64.64,250.00%,1,21.21,13.95,26.20,8.54,0.45%,1.00,auto23wheelers,TVS,tvsmotorcompany
95,http://www.moneycontrol.com/india/stockpricequote/electricequipment/vguardindustries/VI02,"8,388.60",62.94,14.96,70.00%,1,46.21,3.13,55.18,13.17,0.36%,1.00,electricequipment,VI02,vguardindustries
96,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/vardhmantextiles/VT10,"6,988.76",12.81,694.17,150.00%,1,13.57,95.01,9.03,1.75,1.23%,10.00,textilesspinningcottonblended,VT10,vardhmantextiles
97,http://www.moneycontrol.com/india/stockpricequote/miningminerals/vedanta/SG,"87,632.91",12.08,234.11,1945.00%,1,14.25,19.52,8.68,1.01,8.25%,1.00,miningminerals,SG,vedanta
98,http://www.moneycontrol.com/india/stockpricequote/diversified/voltas/V,"17,172.92",34.26,105.36,350.00%,1,21.24,15.15,32.99,4.93,0.67%,1.00,diversified,V,voltas
99,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/wipro/W,"126,754.30",16.41,86.96,50.00%,1,22.18,15.87,14.51,2.99,0.38%,2.00,computerssoftware,W,wipro
