company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector
GIC,financehousing,gichousingfinance,189.9,50,1.3,34.25,10,23.49,2070.3,1,11.19,11.22,2.02,FINANCE - HOUSING
GRU,financehousing,gruhfinance,18.88,165,1.02,4.96,2,23.49,23552.37,1,64.4,64.92,17.06,FINANCE - HOUSING
HDF,financehousing,housingdevelopmentfinancecorporation,235.77,900,0.98,72.45,2,23.49,307755.97,1,25.18,25.28,7.77,FINANCE - HOUSING
IHF01,financehousing,indiabullshousingfinance,361.84,1350,2.27,83.61,2,36.62,50822.14,1,14.14,14.25,3.29,FINANCE - HOUSING
LIC,financehousing,lichousingfinance,258.92,310,1.25,39.42,2,23.49,25028.76,1,12.52,12.58,1.92,FINANCE - HOUSING
PHF,financehousing,pnbhousingfinance,382.8,60,0.55,49.61,10,23.49,18329.05,1,21.44,22.07,2.86,FINANCE - HOUSING
RHF,financehousing,repcohomefinance,214.73,20,0.36,32.95,10,23.49,3502.19,1,16.74,16.99,2.61,FINANCE - HOUSING
CU,abrasives,carborundumuniversal,63.41,175,0.53,7.59,1,41.14,6204.48,1,28.54,43.25,5.18,ABRASIVES
GN,abrasives,grindwellnorton,93.18,80,0.77,13.29,5,41.14,5779.58,1,30.53,39.28,5.6,ABRASIVES
CAR,miscellaneous,creditanalysisresearch,224.04,280,2.06,54.66,10,51.31,4006.73,1,24.43,24.88,6.07,MISCELLANEOUS
CP9,miscellaneous,centuryplyboards,31.84,100,0.39,7.04,1,39.23,5763.45,1,24.25,36.79,8.13,MISCELLANEOUS
CK,miscellaneous,coxkings,171.74,20,0.47,9.97,5,21.95,3779.37,1,18.26,21.47,1.25,MISCELLANEOUS
CRI,miscellaneous,crisil,113.04,2800,1.59,33.16,1,51.31,12666.75,1,47.51,53.2,15.61,MISCELLANEOUS
GD01,miscellaneous,gatewaydistriparks,74.05,70,3.95,3.5,10,39.36,1925.03,1,30.9,50.59,2.39,MISCELLANEOUS
GI19,miscellaneous,greenplyindustries,75.25,60,0.24,11.07,1,28.52,3054.65,1,16.92,22.5,3.31,MISCELLANEOUS
ICR,miscellaneous,icra,559.34,270,0.81,101.3,10,51.31,3287.89,1,31.93,32.77,5.94,MISCELLANEOUS
IIL03,miscellaneous,infibeamincorporation,12.54,0,,0.15,1,745.23,10088.75,1,190.31,1015,12.14,MISCELLANEOUS
IEI01,miscellaneous,infoedgeindia,177.69,45,0.37,14.96,10,39.36,14873.77,1,72.92,81.55,6.87,MISCELLANEOUS
JF04,miscellaneous,jubilantfoodworks,160.44,25,0.09,31.28,10,64.74,18215.69,1,50.28,88.25,17.21,MISCELLANEOUS
JD,miscellaneous,justdial,155.26,0,,21.25,10,51.31,3827.86,1,21.32,26.73,3.66,MISCELLANEOUS
KSC01,miscellaneous,kaveriseedcompany,186.67,0,,31.83,2,24.93,3724.29,1,15.94,17.7,3.02,MISCELLANEOUS
MIL16,miscellaneous,maxindia,61.26,0,,0.24,2,36.62,2097.41,1,289.44,325.63,1.28,MISCELLANEOUS
MCE,miscellaneous,multicommodityexchangeindia,320.72,150,1.86,20.85,10,17.1,4119.65,1,33.49,38.74,2.52,MISCELLANEOUS
SF14,miscellaneous,sheelafoam,112.12,0,,25.81,5,26.73,7390.6,1,48.08,58.7,13.51,MISCELLANEOUS
SI10,miscellaneous,syngeneinternational,85.91,10,0.17,15.26,10,39.36,11687,1,26.77,38.29,6.8,MISCELLANEOUS
TCI,miscellaneous,thomascookindia,31.32,37.5,0.13,14.35,1,21.95,10301.34,1,18.73,19.38,8.88,MISCELLANEOUS
TII,miscellaneous,tifinancialholdings,51.63,125,0.19,3.16,1,36.62,12082.4,1,203.8,203.8,12.47,MISCELLANEOUS
TI01,miscellaneous,titancompany,61.67,260,0.29,13.1,1,68.71,80033.92,1,62.91,68.82,14.62,MISCELLANEOUS
WH01,miscellaneous,wonderlaholidays,84,10,0.3,6.81,10,21.95,1909.72,1,25.45,49.63,4.02,MISCELLANEOUS
CI01,lubricants,castrolindia,10.31,140,4.11,7.02,5,26.3,16854.65,1,22.78,24.27,16.53,LUBRICANTS
GOL01,lubricants,gulfoillubricantsindia,103.07,425,0.98,31.9,2,26.3,4299.04,1,25.44,27.12,8.39,LUBRICANTS
CC10,plantationsteacoffee,cclproductsindia,48.35,175,1.25,7.35,2,32.14,3724.78,1,34.19,38.1,5.79,PLANTATIONS - TEA & COFFEE
MRI02,plantationsteacoffee,mcleodrusselindia,165.42,5,0.17,6.14,5,32.14,1589.3,1,10.6,23.65,0.88,PLANTATIONS - TEA & COFFEE
TC14,plantationsteacoffee,tatacoffee,49.27,150,1.23,3.36,1,32.14,2279.53,1,26.77,36.32,2.48,PLANTATIONS - TEA & COFFEE
TT,plantationsteacoffee,tataglobalbeverage,66.76,250,0.92,8.47,1,32.14,17217.22,1,30.65,32.21,4.09,PLANTATIONS - TEA & COFFEE
CS18,ceramicsgranite,cerasanitaryware,478.75,240,0.41,77.08,5,25.51,3797.72,1,30.97,37.88,6.1,CERAMICS & GRANITE
HSI02,ceramicsgranite,hsil,210.91,200,1.17,10.34,2,25.51,2478.68,1,13.13,33.16,1.63,CERAMICS & GRANITE
KC06,ceramicsgranite,kajariaceramics,90.09,300,0.57,15.87,1,25.51,8360.79,1,26.62,33.14,5.84,CERAMICS & GRANITE
SC49,ceramicsgranite,somanyceramics,134.72,135,0.49,15.36,2,25.51,2330.87,1,25.3,35.81,4.08,CERAMICS & GRANITE
CFC,fertilisers,chambalfertiliserschemicals,72.45,19,1.18,11.54,10,14.8,6705.11,1,12.34,13.96,2.22,FERTILISERS
CI45,fertilisers,coromandelinternational,118.72,500,1.19,22.55,1,14.8,12275.53,1,16.23,18.62,3.54,FERTILISERS
DFP,fertilisers,deepakfertilizerspetrochemicalscoprn,208.9,60,2.09,12.16,10,14.8,2527.07,1,16.02,23.56,1.37,FERTILISERS
GNV,fertilisers,gujaratnarmadavalleyfertilizerschemicals,295.4,50,1.07,50.8,10,14.8,7281.37,1,6.87,9.22,1.59,FERTILISERS
GSF,fertilisers,gujaratstatefertilizerschemicals,176.95,110,1.93,11.94,2,14.8,4542.64,1,7.64,9.55,0.64,FERTILISERS
RCF01,fertilisers,rashtriyachemicalsfertilisers,54.45,11,1.41,1.43,10,14.8,4303.17,1,19.95,54.55,1.43,FERTILISERS
CI11,miningminerals,coalindia,37.4,199,7.14,14.97,10,15.1,173000.49,1,18.58,18.62,7.45,MINING & MINERALS
GMD,miningminerals,gujaratmineraldevelopmentcorporation,138.68,150,2.41,13.67,2,15.1,3959.1,1,7.25,9.11,0.9,MINING & MINERALS
M18,miningminerals,moil,105.32,110,5.96,15.84,10,15.1,4915.96,1,10.15,11.65,1.75,MINING & MINERALS
NMD02,miningminerals,nmdc,83.2,515,4.56,12.03,1,15.1,35751.96,1,8.8,9.39,1.36,MINING & MINERALS
SG,miningminerals,vedanta,234.11,1945,8.15,19.52,1,15.1,88748.07,1,8.79,12.23,1.02,MINING & MINERALS
CI02,engines,cumminsindia,160.56,700,2.04,25.56,2,25.13,18988.2,1,23.67,26.8,4.27,ENGINES
GC20,engines,greavescotton,46.01,275,4.15,8.3,2,25.13,3238.18,1,12.7,15.98,2.88,ENGINES
KOE03,engines,kirloskaroilengines,122.17,250,1.73,10.38,2,25.13,4179.34,1,16.15,27.84,2.37,ENGINES
C13,mediaentertainment,dbcorp,86.88,40,1.52,17.63,10,15.58,4851.52,1,11.64,14.95,3.03,MEDIA & ENTERTAINMENT
ENI,mediaentertainment,entertainmentnetworkindia,186.66,10,0.15,7.38,10,35.36,3176.99,1,32.21,90.3,3.57,MEDIA & ENTERTAINMENT
EIM,mediaentertainment,erosinternationalmedia,142.12,0,,8.1,10,35.36,1258.74,1,15.14,16.34,0.93,MEDIA & ENTERTAINMENT
HCD,mediaentertainment,hathwaycabledatacom,12.71,0,,0.94,2,35.36,2420.89,1,13.82,31.01,2.29,MEDIA & ENTERTAINMENT
INO01,mediaentertainment,inoxleisure,72.59,0,,11.89,10,35.36,2553.24,1,12.68,22.26,3.65,MEDIA & ENTERTAINMENT
JP12,mediaentertainment,jagranprakashan,62.08,150,2.02,8.54,2,15.58,4616.68,1,13.25,17.36,2.39,MEDIA & ENTERTAINMENT
PVR,mediaentertainment,pvr,229.87,20,0.14,25.98,10,35.36,6572.61,1,25.03,54.13,6.12,MEDIA & ENTERTAINMENT
STN01,mediaentertainment,suntvnetwork,129.79,200,1.1,27.74,5,35.36,35804.56,1,23.36,32.75,7,MEDIA & ENTERTAINMENT
TVT,mediaentertainment,tvtodaynetwork,125.58,40,0.44,19.68,5,35.36,2730.94,1,18.37,23.26,3.65,MEDIA & ENTERTAINMENT
IBN,mediaentertainment,tv18broadcast,22.13,0,,0.56,2,35.36,9874.71,1,85.97,102.86,2.6,MEDIA & ENTERTAINMENT
ZEE,mediaentertainment,zeeentertainmententerprises,46.04,250,0.45,19.89,1,35.36,53296.1,1,26,27.9,12.05,MEDIA & ENTERTAINMENT
DC11,constructioncontractingrealestate,deltacorp,39.69,35,0.14,3.91,1,39.36,6551.83,1,55.01,62.61,6.17,CONSTRUCTION & CONTRACTING - REAL ESTATE
D04,constructioncontractingrealestate,dlf,84.46,100,1,2.05,2,30.6,35646.02,1,71.61,97.46,2.37,CONSTRUCTION & CONTRACTING - REAL ESTATE
GP11,constructioncontractingrealestate,godrejproperties,95.58,0,,9.17,5,30.6,17599.24,1,78.23,83.69,8.03,CONSTRUCTION & CONTRACTING - REAL ESTATE
HDI,constructioncontractingrealestate,housingdevelopmentinfrastructure,263.04,0,,2.2,10,30.6,993.87,1,9.74,10.41,0.09,CONSTRUCTION & CONTRACTING - REAL ESTATE
OR,constructioncontractingrealestate,oberoirealty,131.39,20,0.4,12.28,10,30.6,17173.69,1,37.6,41.18,3.85,CONSTRUCTION & CONTRACTING - REAL ESTATE
O02,constructioncontractingrealestate,omaxe,105.59,7,0.32,3.47,10,30.6,3985.4,1,57.34,62.8,2.06,CONSTRUCTION & CONTRACTING - REAL ESTATE
PM02,constructioncontractingrealestate,phoenixmills,158.77,120,0.37,10.11,2,30.6,9819.05,1,50.31,63.4,4.04,CONSTRUCTION & CONTRACTING - REAL ESTATE
PI26,constructioncontractingrealestate,pncinfratech,71.07,25,0.29,9.79,2,30.6,4395.8,1,13.39,17.5,2.41,CONSTRUCTION & CONTRACTING - REAL ESTATE
PEP02,constructioncontractingrealestate,prestigeestatesprojects,132.66,12,0.44,6.19,10,30.6,10325.63,1,35.9,44.48,2.08,CONSTRUCTION & CONTRACTING - REAL ESTATE
SD6,constructioncontractingrealestate,sobha,285.41,20,0.41,20.44,10,30.6,4657.88,1,19.06,24.03,1.72,CONSTRUCTION & CONTRACTING - REAL ESTATE
SR05,constructioncontractingrealestate,sunteckrealty,67.15,150,0.38,8.45,1,30.6,5735.55,1,46.06,46.39,5.84,CONSTRUCTION & CONTRACTING - REAL ESTATE
eS06,computerssoftwaremediumsmall,eclerxservices,356.28,10,0.08,72,10,23.52,5014.05,1,16.29,18.03,3.64,COMPUTERS - SOFTWARE MEDIUM & SMALL
FS07,computerssoftwaremediumsmall,firstsourcesolutions,29.16,0,,2.79,10,23.52,5634.49,1,26.42,29.35,2.81,COMPUTERS - SOFTWARE MEDIUM & SMALL
KPI02,computerssoftwaremediumsmall,kpittechnologies,78.67,110,0.78,8.99,2,21.82,5577.36,1,22.31,31.41,3.59,COMPUTERS - SOFTWARE MEDIUM & SMALL
LTS,computerssoftwaremediumsmall,lttechnologyservices,197.26,350,0.52,47.76,2,29.78,13688.66,1,25.02,27.97,6.77,COMPUTERS - SOFTWARE MEDIUM & SMALL
SS42,computerssoftwaremediumsmall,sonatasoftware,57.76,900,2.79,14.39,1,21.82,3394.02,1,21.72,22.43,5.59,COMPUTERS - SOFTWARE MEDIUM & SMALL
TS09,computerssoftwaremediumsmall,takesolutions,33.98,100,0.34,1.03,1,21.82,4403.72,1,275.6,288.98,8.76,COMPUTERS - SOFTWARE MEDIUM & SMALL
VS,computerssoftwaremediumsmall,vakrangee,19.46,200,4.85,6.96,1,21.82,4362.27,1,5.39,5.92,2.12,COMPUTERS - SOFTWARE MEDIUM & SMALL
EIH,hotels,eih,46.74,45,0.52,1.96,2,69.32,9891.01,1,44.72,88.29,3.7,HOTELS
IHC,hotels,indianhotelscompany,34.48,35,0.26,1.21,1,69.32,15769.57,1,53.25,109.59,3.85,HOTELS
MHR,hotels,mahindraholidaysresortsindia,50.58,50,1.56,10.06,10,69.32,4285.15,1,22.65,31.91,6.35,HOTELS
DIC,hotels,westlifedevelopment,30.79,0,,0.11,2,69.32,5756.75,1,3363.64,3363.64,12.02,HOTELS
EE01,compressors,elgiequipments,38.98,100,0.38,4.85,1,32.28,4214.89,1,37.2,54.85,6.82,COMPRESSORS
IRI01,compressors,ingersollrandindia,364.43,60,1.05,28.16,10,32.28,1803.64,1,17.77,20.29,1.57,COMPRESSORS
E,autotractors,escorts,190.56,15,0.16,28.12,10,29.77,11228.65,1,26.91,32.58,4.81,AUTO - TRACTORS
EP11,packaging,esselpropack,41.65,120,0.96,5.16,2,24.28,3929.54,1,26.23,48.45,6,PACKAGING
JPF01,packaging,jindalpolyfilms,422.11,10,0.43,3.32,10,24.28,1025.26,1,8.79,70.53,0.55,PACKAGING
U01,packaging,uflex,296.73,35,1.17,13.98,10,24.28,2152.26,1,6.68,21.32,1,PACKAGING
EII02,drycells,evereadyindustriesindia,47.36,20,0.4,7.53,5,20.97,1828.08,1,24.71,33.4,5.31,DRY CELLS
FC01,cablestelephone,finolexcables,146.18,150,0.45,23.42,2,31.64,10204.11,1,25.39,28.49,4.56,CABLES - TELEPHONE
ST20,cablestelephone,sterlitetechnologies,26.68,100,0.67,6.4,2,31.64,11929.96,1,27.96,46.48,11.15,CABLES - TELEPHONE
FI,petrochemicals,finolexindustries,208.71,115,1.93,24.06,10,26.73,7386.16,1,20.57,24.74,2.85,PETROCHEMICALS
AP29,powertransmissionequipment,gepowerindia,127.48,30,0.36,3.95,10,14.41,5613.49,1,72.55,211.39,6.55,POWER - TRANSMISSION & EQUIPMENT
ATD,powertransmissionequipment,getdindia,48.49,90,0.58,8.15,2,14.41,7975.85,1,26.72,38.22,6.42,POWER - TRANSMISSION & EQUIPMENT
KPT,powertransmissionequipment,kalpatarupowertransmission,182.48,100,0.46,20.98,2,14.41,6629.5,1,16.63,20.59,2.37,POWER - TRANSMISSION & EQUIPMENT
KEC04,powertransmissionequipment,kecinternational,81.13,80,0.44,16.73,2,14.41,9275.75,1,17.65,21.57,4.45,POWER - TRANSMISSION & EQUIPMENT
GES,shipping,greateasternshippingcompany,352.99,101,3.18,10.62,10,18.22,4796.22,1,7.36,29.95,0.9,SHIPPING
GPP03,shipping,gujaratpipavavport,45.88,38,3.28,4.11,10,20.06,5598.23,1,18.53,28.18,2.52,SHIPPING
SCI,shipping,shippingcorporationindia,152.88,0,,5.45,10,18.22,3067.29,1,3.55,12.08,0.43,SHIPPING
GPI,cigarettes,godfreyphillipsindia,337.08,400,1.08,30.92,2,28.93,3847.55,1,15,23.93,2.2,CIGARETTES
ITC,cigarettes,itc,46.35,475,1.8,9.2,1,28.93,322803.6,1,26.11,28.75,5.71,CIGARETTES
VST,cigarettes,vstindustries,463.87,750,2.5,117.79,10,28.93,4640.45,1,20.99,25.51,6.48,CIGARETTES
HS,textilessyntheticsilk,himatsingkaseide,129.27,50,0.75,20.93,5,13.5,3298.31,1,12.62,16.01,2.59,TEXTILES - SYNTHETIC & SILK
HC07,metalsnonferrous,hindustancopper,16.72,0,,0.86,5,22.18,6615.31,1,27.08,83.14,4.28,METALS - NON FERROUS
HZ,metalsnonferrous,hindustanzinc,94.86,1470,9.66,21.67,2,13.77,128639.84,1,12.09,14.05,3.21,METALS - NON FERROUS
HI,aluminium,hindalcoindustries,210.84,110,0.46,6.4,1,24.7,53308.76,1,17.46,37.1,1.13,ALUMINIUM
NAC,aluminium,nationalaluminiumcompany,59.74,56,4.05,6.94,5,24.7,13375.87,1,7.34,9.97,1.16,ALUMINIUM
IDF,financetermlendinginstitutions,idfc,61.38,0,,0.93,10,5.8,7957.83,1,51.93,53.6,0.81,FINANCE - TERM LENDING INSTITUTIONS
PFC02,financetermlendinginstitutions,powerfinancecorporation,160.32,50,6.06,22.18,10,5.8,21767.47,1,3.71,3.72,0.51,FINANCE - TERM LENDING INSTITUTIONS
PIF02,financetermlendinginstitutions,ptcindiafinancialservices,38.05,15,8.04,0.38,10,36.62,1197.86,1,42.39,49.08,0.49,FINANCE - TERM LENDING INSTITUTIONS
REC02,financetermlendinginstitutions,ruralelectrificationcorporation,192.27,96.5,8.5,23.53,10,5.8,22425.19,1,4.82,4.83,0.59,FINANCE - TERM LENDING INSTITUTIONS
IB04,bankspublicsector,indianbank,329.53,0,,26.21,10,12.43,16915.87,1,11.31,13.44,1.07,BANKS - PUBLIC SECTOR
VB03,bankspublicsector,vijayabank,75.43,12,2.13,5.57,10,12.43,7348.87,1,8.86,10.12,0.75,BANKS - PUBLIC SECTOR
ICI07,textilesspinningcottonblended,indocountindustries,48.51,40,1.18,6.64,2,14.46,1341.33,1,8.31,10.23,1.4,TEXTILES - SPINNING - COTTON BLENDED
AI01,textilesspinningcottonblended,trident,58.64,15,2.41,5.18,10,14.46,3169.68,1,4.75,12.01,1.06,TEXTILES - SPINNING - COTTON BLENDED
VT10,textilesspinningcottonblended,vardhmantextiles,694.17,150,1.24,95.01,10,14.46,6962.05,1,8.99,12.76,1.75,TEXTILES - SPINNING - COTTON BLENDED
SIS06,engineeringheavy,isgecheavyengineering,1692.49,300,0.54,161.81,10,23.24,4053.28,1,21.78,34.07,3.26,ENGINEERING - HEAVY
PI17,engineeringheavy,prajindustries,39.43,81,1.87,1.74,2,23.24,1570.95,1,29.76,49.77,2.2,ENGINEERING - HEAVY
JC08,steelgpgcsheets,jaicorp,62.13,50,0.33,1.37,1,60.72,2678.53,1,67.31,109.56,2.42,STEEL - GP & GC SHEETS
JSH,steellarge,jindalstainlesshisar,53.31,0,,16.77,2,11.58,3774.95,1,5.7,9.54,3,STEEL - LARGE
JSW01,steellarge,jswsteel,118.58,225,0.68,19.13,1,16.94,80287.98,1,10.45,17.36,2.8,STEEL - LARGE
TIS,steellarge,tatasteel,478.87,100,1.77,34.63,10,16.94,68147.14,1,8.63,16.34,1.18,STEEL - LARGE
KG01,textilesreadymadeapparels,kitexgarments,68.52,150,0.9,10.53,1,46.7,1103.9,1,11.81,15.76,2.42,TEXTILES - READYMADE APPARELS
M15,textilesreadymadeapparels,kprmill,181.75,15,0.12,30.44,5,46.7,4560.85,1,13.82,20.28,3.4,TEXTILES - READYMADE APPARELS
PI35,textilesreadymadeapparels,pageindustries,907.99,970,0.37,311.08,10,46.7,29627.14,1,79.01,85.39,29.25,TEXTILES - READYMADE APPARELS
LMW,textilesmachinery,lakshmimachineworks,1597.23,350,0.43,192.98,10,23.24,8856.1,1,31.38,41.89,5.06,TEXTILES - MACHINERY
MM,autocarsjeeps,mahindramahindra,206.6,260,1.43,35.17,5,31.79,112881.88,1,19.29,25.82,4.39,AUTO - CARS & JEEPS
MS24,autocarsjeeps,marutisuzukiindia,1453.02,1500,0.84,255.62,5,31.79,270437.17,1,25.81,35.02,6.16,AUTO - CARS & JEEPS
NP01,printingstationery,navneeteducation,37.63,125,2.01,6.56,2,15.58,2908.96,1,16.45,18.99,3.31,PRINTING & STATIONERY
NII,computerssoftwaretraining,niit,48.49,0,,0.31,2,103.45,1677.73,1,57.82,324.52,2.07,COMPUTERS - SOFTWARE - TRAINING
PJ,diamondcuttingjewellerypreciousmetals,pcjeweller,70.83,10,0.64,14.38,10,24.92,6208.93,1,10.56,10.95,2.22,DIAMOND CUTTING & JEWELLERY & PRECIOUS METALS
RE07,diamondcuttingjewellerypreciousmetals,rajeshexports,141.66,110,0.18,14.94,1,24.92,17752.51,1,40.11,40.24,4.24,DIAMOND CUTTING & JEWELLERY & PRECIOUS METALS
RK01,breweriesdistilleries,radicokhaitan,86.52,40,0.2,9.26,2,69.28,5250.31,1,31.94,42.53,4.55,BREWERIES & DISTILLERIES
UB02,breweriesdistilleries,unitedbreweries,103.12,115,0.09,14.9,1,69.28,33638.95,1,51.47,85.39,12.34,BREWERIES & DISTILLERIES
R,textileswoollenworsted,raymond,214.57,30,0.3,15.98,10,60.57,6047.24,1,31.21,61.65,4.59,TEXTILES - WOOLLEN & WORSTED
RI37,computershardware,redingtonindia,43.24,215,3.43,4.6,2,29.54,5016.16,1,25.37,27.25,2.9,COMPUTERS - HARDWARE
FAG,bearings,schaefflerindia,1020.21,170,0.32,148.38,10,34.51,8942.17,1,28.15,36.27,5.27,BEARINGS
SKF01,bearings,skfindia,410.17,150,0.84,57.65,10,34.51,9214.65,1,26.97,31.13,4.38,BEARINGS
TI23,bearings,timkenindia,104.39,10,0.13,13.54,10,34.51,5127.2,1,37.93,55.69,7.22,BEARINGS
SRF,textilesmanmade,srf,618.16,120,0.63,70.65,10,26.61,10918.22,1,15.97,26.91,3.08,TEXTILES - MANMADE
SF23,fasteners,sundramfasteners,79.98,450,0.71,17.49,1,35.63,13368.37,1,28.71,36.38,7.95,FASTENERS
TSI,steelspongeiron,tataspongeiron,653.06,110,1,91.47,10,9.66,1691.38,1,11.04,12.01,1.68,STEEL - SPONGE IRON
WI03,textilesweaving,welspunindia,24.93,65,1.11,3.03,1,19.56,5887.69,1,7.63,19.34,2.35,TEXTILES - WEAVING
